"","Id","Position","FirstName","LastName","ExpectedPoints","Salary","Team","Opponent","TeamSalary","TotalPoints","TeamNumber"
"11",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",59800,178.2,1
"27",14225,"QB","Andy","Dalton",23.9,7600,"CIN","KC",59800,178.2,1
"33",34331,"RB","Latavius","Murray",16.4,7500,"OAK","CHI",59800,178.2,1
"37",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",59800,178.2,1
"42",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",59800,178.2,1
"101",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",59800,178.2,1
"165",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",59800,178.2,1
"225",6522,"K","Josh","Brown",13,4800,"NYG","BUF",59800,178.2,1
"273",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",59800,178.2,1
"111",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",59700,178,2
"271",14225,"QB","Andy","Dalton",23.9,7600,"CIN","KC",59700,178,2
"35",27553,"RB","Joseph","Randle",16.2,7400,"DAL","NO",59700,178,2
"371",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",59700,178,2
"421",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",59700,178,2
"1011",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",59700,178,2
"1651",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",59700,178,2
"2251",6522,"K","Josh","Brown",13,4800,"NYG","BUF",59700,178,2
"2731",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",59700,178,2
"112",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",59800,177.4,3
"30",14377,"QB","Tyrod","Taylor",23.1,7600,"BUF","NYG",59800,177.4,3
"331",34331,"RB","Latavius","Murray",16.4,7500,"OAK","CHI",59800,177.4,3
"372",6883,"WR","Larry","Fitzgerald",24.9,7400,"ARI","STL",59800,177.4,3
"422",24920,"RB","Devonta","Freeman",20,7200,"ATL","HOU",59800,177.4,3
"1012",22035,"WR","Travis","Benjamin",19.3,6000,"CLE","SD",59800,177.4,3
"1652",16923,"TE","Austin","Seferian-Jenkins",14.7,5200,"TB","CAR",59800,177.4,3
"2252",6522,"K","Josh","Brown",13,4800,"NYG","BUF",59800,177.4,3
"2732",12531,"D","Denver","Broncos",17.7,4700,"DEN","MIN",59800,177.4,3
"113",14190,"WR","Julio","Jones",28.3,9400,"ATL","HOU",60000,177.3,4
